iter	RMSE
0	57866.55378
1	56126.54445
2	54471.84966
3	52778.54957
4	51055.11689
5	49450.3431
6	47853.45782
7	46403.37582
8	45066.00131
9	43756.51008
10	42614.83191
11	41570.45554
12	40428.44509
13	39436.62702
14	38431.43333
15	37397.25454
16	36573.8299
17	35727.42222
18	35019.65858
19	34299.87231
20	33636.45188
21	32905.35809
22	32219.1275
23	31588.68816
24	31020.90848
25	30466.50635
26	29892.81826
27	29418.93145
28	28907.15002
29	28469.2596
30	28025.22502
31	27541.20798
32	27147.61173
33	26732.43378
34	26321.72012
35	26008.41874
36	25674.24033
37	25367.09264
38	25078.20723
39	24768.49335
40	24468.92532
41	24181.80962
42	23926.60298
43	23660.89167
44	23425.01127
45	23168.97172
46	22934.7767
47	22743.65429
48	22536.7997
49	22305.29245
50	22100.20824
51	21890.12682
52	21697.54668
53	21562.19863
54	21382.7962
55	21200.68689
56	21038.93985
57	20891.85807
58	20700.11473
59	20554.02511
60	20393.29207
61	20248.09273
62	20109.27577
63	19970.64998
64	19851.14057
65	19713.09421
66	19589.81601
67	19449.21412
68	19350.63988
69	19244.6992
70	19119.50761
71	19008.73512
72	18922.31845
73	18812.57732
74	18671.30329
75	18582.01174
76	18469.6369
77	18385.71121
78	18295.44679
79	18191.47894
80	18105.85854
81	18005.01915
82	17918.59503
83	17847.0074
84	17757.96752
85	17697.98448
86	17615.75845
87	17533.15498
88	17470.26859
89	17397.74025
90	17314.56504
91	17222.49323
92	17163.01585
93	17078.14258
94	17008.23826
95	16932.58562
96	16871.0981
97	16801.65744
98	16751.61645
99	16706.78141
100	16634.14634
101	16580.94542
102	16504.54446
103	16453.48879
104	16400.13968
105	16344.76297
106	16296.33415
107	16247.48933
108	16195.54011
109	16150.68556
110	16111.39566
111	16069.48944
112	16006.34981
113	15954.89948
114	15899.38962
115	15860.72435
116	15800.80666
117	15771.14644
118	15715.90625
119	15671.47661
120	15627.31477
121	15561.95552
122	15508.21898
123	15468.43332
124	15415.39218
125	15381.95249
126	15345.67312
127	15313.45493
128	15235.79654
129	15194.17309
130	15179.87099
131	15135.93434
132	15099.12324
133	15065.84612
134	15008.1379
135	14965.52621
136	14931.56084
137	14894.16124
138	14861.53359
139	14817.0398
140	14792.71173
141	14773.98078
142	14723.26715
143	14669.51629
144	14628.54372
145	14605.31526
146	14574.74641
147	14540.64961
148	14500.31842
149	14476.92499
150	14469.52576
151	14441.35141
152	14435.37692
153	14412.78285
154	14382.38326
155	14365.46967
156	14335.82897
157	14295.65279
158	14239.10791
159	14191.86906
160	14167.27506
161	14130.75193
162	14096.79906
163	14055.09893
164	14018.06873
165	13991.87698
166	13985.30149
167	13937.9061
168	13900.30124
169	13867.68465
170	13826.46321
171	13776.93591
172	13752.42662
173	13709.17873
174	13671.70487
175	13627.75435
176	13601.85895
177	13563.07153
178	13523.22025
179	13485.59826
180	13443.66546
181	13430.25738
182	13397.11472
183	13349.07223
184	13311.77393
185	13270.53741
186	13231.88752
187	13198.44565
188	13155.60626
189	13127.59764
190	13099.81583
191	13067.27589
192	13012.1901
193	12975.24242
194	12953.40308
195	12922.21698
196	12893.88908
197	12869.22244
198	12831.66777
199	12810.76741
200	12779.45221
201	12741.63345
202	12712.39956
203	12688.53193
204	12651.21841
205	12612.81693
206	12608.45309
207	12600.58335
208	12587.83423
209	12573.20366
210	12560.28053
211	12525.71048
212	12495.55644
213	12490.2358
214	12455.95322
215	12425.79523
216	12398.11439
217	12359.26555
218	12323.43812
219	12299.72467
220	12272.47328
221	12254.72136
222	12220.80944
223	12198.09912
224	12194.13107
225	12160.29468
226	12139.85974
227	12107.22631
228	12082.257
229	12066.72506
230	12059.17509
231	12041.34427
232	12015.30272
233	11984.5504
234	11965.28481
235	11933.60473
236	11910.64037
237	11907.04355
238	11900.29402
239	11864.31483
240	11858.15453
241	11840.7379
242	11809.17488
243	11782.51479
244	11751.19059
245	11720.13774
246	11691.34887
247	11661.83469
248	11642.1578
249	11613.58649
250	11587.80715
251	11567.6225
252	11561.71254
253	11532.19457
254	11526.25193
255	11509.62487
256	11482.51224
257	11476.95843
258	11444.45974
259	11413.40958
260	11380.02482
261	11377.13173
262	11339.13843
263	11317.48496
264	11312.89186
265	11296.58279
266	11271.64158
267	11250.49613
268	11214.5171
269	11189.3268
