iter	Passed	Remaining
0	63	63535
1	77	38443
2	90	29981
3	103	25687
4	114	22765
5	128	21271
6	140	19990
7	152	18853
8	162	17851
9	172	17107
10	184	16618
11	199	16440
12	212	16103
13	225	15846
14	237	15565
15	248	15287
16	259	15010
17	272	14873
18	285	14753
19	297	14585
20	310	14471
21	323	14398
22	336	14295
23	349	14193
24	361	14098
25	374	14014
26	387	13953
27	399	13869
28	416	13944
29	427	13812
30	438	13711
31	450	13617
32	460	13499
33	470	13375
34	483	13333
35	496	13289
36	509	13257
37	526	13326
38	538	13261
39	559	13428
40	577	13516
41	603	13775
42	627	13963
43	646	14040
44	669	14202
45	686	14243
46	704	14281
47	717	14223
48	729	14164
49	741	14093
50	754	14037
51	766	13982
52	779	13923
53	791	13868
54	803	13811
55	817	13774
56	829	13718
57	842	13676
58	854	13632
59	867	13586
60	879	13543
61	892	13495
62	904	13452
63	916	13405
64	928	13359
65	941	13320
66	954	13290
67	967	13263
68	981	13239
69	994	13208
70	1009	13211
71	1023	13188
72	1036	13168
73	1050	13144
74	1062	13107
75	1075	13076
76	1089	13055
77	1102	13029
78	1114	12998
79	1127	12960
80	1139	12931
81	1153	12917
82	1166	12889
83	1179	12863
84	1194	12857
85	1211	12879
86	1223	12842
87	1238	12836
88	1252	12819
89	1263	12772
90	1275	12745
91	1285	12690
92	1298	12662
93	1309	12617
94	1319	12566
95	1331	12538
96	1343	12509
97	1354	12470
98	1365	12426
99	1376	12386
100	1390	12378
101	1402	12344
102	1417	12341
103	1430	12324
104	1446	12333
105	1458	12302
106	1470	12275
107	1483	12256
108	1489	12176
109	1504	12169
110	1521	12183
111	1533	12159
112	1546	12136
113	1560	12124
114	1573	12107
115	1586	12092
116	1598	12064
117	1610	12036
118	1623	12020
119	1634	11987
120	1647	11969
121	1664	11976
122	1679	11978
123	1692	11957
124	1705	11941
125	1716	11906
126	1727	11872
127	1737	11835
128	1747	11802
129	1759	11775
130	1770	11746
131	1781	11714
132	1791	11680
133	1802	11649
134	1813	11622
135	1824	11589
136	1835	11560
137	1845	11528
138	1856	11500
139	1867	11472
140	1878	11445
141	1889	11416
142	1899	11385
143	1903	11314
144	1914	11288
145	1925	11263
146	1936	11236
147	1952	11240
148	1965	11227
149	1984	11245
150	1997	11232
151	2002	11174
152	2018	11173
153	2035	11180
154	2047	11161
155	2062	11159
156	2077	11154
157	2091	11143
158	2103	11128
159	2115	11107
160	2130	11100
161	2139	11069
162	2148	11032
163	2157	10998
164	2166	10964
165	2177	10940
166	2186	10905
167	2189	10843
168	2198	10811
169	2208	10784
170	2218	10754
171	2227	10721
172	2236	10693
173	2245	10660
174	2256	10637
175	2265	10605
176	2274	10574
177	2283	10544
178	2292	10516
179	2303	10494
180	2312	10463
181	2321	10436
182	2332	10412
183	2341	10385
184	2353	10367
185	2366	10355
186	2369	10302
187	2382	10291
188	2394	10274
189	2406	10257
190	2420	10252
191	2431	10234
192	2443	10215
193	2454	10198
194	2468	10189
195	2479	10172
196	2490	10152
197	2503	10141
198	2516	10129
199	2528	10112
200	2539	10093
201	2553	10086
202	2565	10072
203	2568	10022
204	2578	10000
205	2590	9985
206	2602	9969
207	2613	9949
208	2623	9930
209	2635	9912
210	2646	9896
211	2657	9877
212	2668	9858
213	2679	9840
214	2689	9820
215	2700	9801
216	2711	9782
217	2721	9764
218	2732	9743
219	2743	9728
220	2754	9710
221	2765	9693
222	2776	9674
223	2788	9658
224	2798	9640
225	2810	9624
226	2820	9606
227	2828	9575
228	2839	9559
229	2849	9541
230	2861	9524
231	2868	9494
232	2879	9477
233	2889	9459
234	2900	9443
235	2911	9425
236	2921	9407
237	2933	9391
238	2944	9375
239	2955	9358
240	2966	9342
241	2977	9325
242	2988	9310
243	3000	9295
244	3010	9277
245	3021	9260
246	3033	9246
247	3043	9227
248	3053	9209
249	3066	9200
250	3075	9178
251	3086	9162
252	3097	9144
253	3107	9126
254	3118	9109
255	3129	9096
256	3142	9085
257	3152	9067
258	3163	9051
259	3172	9028
260	3181	9007
261	3191	8989
262	3200	8967
263	3210	8950
264	3219	8929
265	3228	8908
266	3237	8888
267	3247	8868
268	3256	8849
269	3265	8828
270	3274	8809
271	3284	8789
272	3294	8774
273	3304	8755
274	3313	8734
275	3324	8719
276	3333	8699
277	3343	8684
278	3353	8666
279	3362	8646
280	3372	8628
281	3381	8609
282	3392	8595
283	3402	8577
284	3411	8557
285	3422	8544
286	3431	8525
287	3440	8505
288	3449	8487
289	3458	8467
290	3468	8451
291	3478	8434
292	3488	8416
293	3498	8402
294	3507	8383
295	3517	8365
296	3526	8348
297	3536	8330
298	3547	8316
299	3555	8297
300	3566	8282
301	3575	8264
302	3584	8246
303	3595	8231
304	3603	8212
305	3613	8194
306	3622	8177
307	3633	8164
308	3644	8150
309	3653	8131
310	3662	8114
311	3671	8095
312	3682	8081
313	3693	8069
314	3706	8059
315	3717	8046
316	3726	8029
317	3735	8011
318	3745	7994
319	3753	7976
320	3763	7961
321	3775	7949
322	3784	7933
323	3794	7917
324	3803	7899
325	3812	7882
326	3823	7869
327	3832	7852
328	3841	7835
329	3850	7818
330	3859	7800
331	3869	7784
332	3878	7768
333	3888	7754
334	3897	7737
335	3907	7721
336	3915	7703
337	3926	7689
338	3937	7676
339	3946	7660
340	3955	7644
341	3964	7627
342	3974	7612
343	3984	7599
344	3994	7582
345	4005	7571
346	4014	7555
347	4024	7540
348	4036	7529
349	4045	7513
350	4054	7497
351	4063	7480
352	4073	7465
353	4082	7449
354	4091	7433
355	4102	7421
356	4112	7406
357	4121	7390
358	4130	7375
359	4139	7359
360	4150	7347
361	4159	7331
362	4169	7316
363	4179	7302
364	4188	7286
365	4197	7270
366	4206	7255
367	4216	7240
368	4224	7224
369	4234	7209
370	4244	7195
371	4252	7179
372	4263	7166
373	4271	7150
374	4283	7138
375	4293	7124
376	4302	7109
377	4311	7095
378	4321	7080
379	4330	7065
380	4340	7052
381	4349	7036
382	4360	7024
383	4369	7008
384	4378	6994
385	4388	6981
386	4397	6965
387	4406	6950
388	4415	6935
389	4425	6921
390	4433	6905
391	4444	6893
392	4455	6881
393	4464	6866
394	4474	6852
395	4482	6837
396	4492	6823
397	4503	6811
398	4512	6797
399	4523	6784
400	4531	6769
401	4541	6755
402	4551	6742
403	4560	6728
404	4569	6713
405	4579	6699
406	4590	6687
407	4599	6673
408	4608	6659
409	4617	6645
410	4627	6630
411	4636	6616
412	4645	6602
413	4654	6588
414	4664	6574
415	4673	6560
416	4682	6547
417	4691	6532
418	4701	6519
419	4710	6505
420	4720	6491
421	4729	6477
422	4738	6463
423	4750	6453
424	4759	6439
425	4768	6425
426	4778	6412
427	4786	6397
428	4797	6385
429	4806	6371
430	4816	6358
431	4827	6346
432	4835	6332
433	4846	6320
434	4855	6307
435	4865	6294
436	4874	6280
437	4883	6266
438	4893	6253
439	4902	6239
440	4912	6226
441	4922	6214
442	4931	6200
443	4943	6190
444	4952	6176
445	4963	6165
446	4972	6152
447	4981	6138
448	4993	6127
449	5004	6116
450	5014	6104
451	5025	6093
452	5036	6081
453	5045	6067
454	5054	6053
455	5062	6039
456	5072	6026
457	5080	6012
458	5092	6001
459	5101	5989
460	5111	5976
461	5121	5963
462	5130	5950
463	5139	5937
464	5149	5924
465	5158	5910
466	5168	5899
467	5177	5885
468	5188	5873
469	5198	5861
470	5206	5848
471	5217	5836
472	5226	5823
473	5235	5810
474	5246	5798
475	5255	5785
476	5265	5773
477	5273	5758
478	5284	5747
479	5294	5735
480	5303	5722
481	5314	5711
482	5323	5698
483	5332	5685
484	5341	5672
485	5351	5659
486	5362	5648
487	5371	5635
488	5380	5622
489	5389	5609
490	5398	5596
491	5408	5584
492	5417	5571
493	5428	5560
494	5437	5547
495	5446	5534
496	5457	5523
497	5466	5509
498	5476	5498
499	5485	5485
500	5494	5472
501	5505	5461
502	5514	5448
503	5523	5436
504	5532	5423
505	5542	5410
506	5551	5397
507	5560	5385
508	5570	5373
509	5579	5360
510	5590	5349
511	5599	5337
512	5610	5326
513	5620	5314
514	5629	5301
515	5639	5289
516	5648	5276
517	5657	5264
518	5667	5252
519	5675	5239
520	5684	5226
521	5693	5213
522	5702	5201
523	5712	5189
524	5722	5177
525	5733	5166
526	5742	5154
527	5753	5143
528	5763	5131
529	5771	5118
530	5781	5106
531	5790	5094
532	5800	5082
533	5811	5071
534	5820	5059
535	5830	5047
536	5839	5034
537	5848	5022
538	5858	5010
539	5867	4998
540	5878	4987
541	5886	4974
542	5897	4963
543	5907	4951
544	5917	4939
545	5926	4928
546	5935	4915
547	5945	4903
548	5954	4891
549	5964	4879
550	5974	4868
551	5983	4856
552	5993	4844
553	6002	4832
554	6011	4820
555	6022	4809
556	6031	4796
557	6041	4785
558	6050	4773
559	6059	4761
560	6069	4749
561	6078	4737
562	6088	4725
563	6097	4713
564	6108	4703
565	6117	4691
566	6127	4679
567	6136	4667
568	6145	4655
569	6157	4645
570	6168	4634
571	6177	4622
572	6186	4610
573	6195	4598
574	6205	4586
575	6215	4574
576	6223	4562
577	6234	4551
578	6243	4539
579	6253	4528
580	6263	4517
581	6273	4505
582	6284	4494
583	6293	4482
584	6302	4471
585	6312	4459
586	6321	4447
587	6330	4435
588	6339	4423
589	6348	4411
590	6359	4400
591	6368	4388
592	6377	4377
593	6386	4364
594	6397	4354
595	6405	4342
596	6415	4330
597	6425	4319
598	6434	4307
599	6446	4297
600	6456	4286
601	6466	4275
602	6475	4263
603	6484	4251
604	6493	4239
605	6502	4227
606	6511	4216
607	6523	4205
608	6532	4193
609	6541	4182
610	6550	4170
611	6560	4159
612	6570	4148
613	6579	4136
614	6588	4124
615	6597	4112
616	6606	4100
617	6615	4088
618	6624	4077
619	6635	4066
620	6643	4054
621	6652	4042
622	6661	4030
623	6670	4019
624	6679	4007
625	6691	3997
626	6700	3986
627	6709	3974
628	6720	3964
629	6731	3953
630	6739	3941
631	6749	3930
632	6758	3918
633	6767	3906
634	6775	3894
635	6785	3883
636	6794	3871
637	6804	3860
638	6814	3850
639	6823	3838
640	6834	3827
641	6846	3817
642	6855	3806
643	6865	3795
644	6874	3783
645	6884	3772
646	6893	3761
647	6903	3750
648	6915	3739
649	6925	3729
650	6936	3718
651	6949	3709
652	6958	3697
653	6967	3686
654	6977	3674
655	6986	3663
656	6997	3653
657	7007	3642
658	7016	3630
659	7025	3619
660	7034	3607
661	7045	3597
662	7055	3586
663	7064	3574
664	7075	3564
665	7084	3552
666	7093	3541
667	7103	3530
668	7112	3518
669	7121	3507
670	7130	3496
671	7139	3484
672	7153	3475
673	7163	3464
674	7174	3454
675	7187	3444
676	7197	3434
677	7208	3423
678	7217	3412
679	7227	3400
680	7238	3390
681	7249	3380
682	7257	3368
683	7268	3357
684	7277	3346
685	7288	3336
686	7298	3325
687	7307	3313
688	7317	3302
689	7325	3291
690	7335	3280
691	7346	3269
692	7354	3258
693	7365	3247
694	7375	3236
695	7384	3225
696	7395	3215
697	7404	3203
698	7414	3192
699	7423	3181
700	7433	3170
701	7443	3159
702	7453	3148
703	7462	3137
704	7471	3126
705	7481	3115
706	7491	3104
707	7499	3093
708	7510	3082
709	7519	3071
710	7528	3060
711	7539	3049
712	7548	3038
713	7558	3027
714	7566	3016
715	7577	3005
716	7588	2995
717	7597	2984
718	7607	2973
719	7615	2961
720	7625	2950
721	7634	2939
722	7643	2928
723	7654	2918
724	7663	2906
725	7673	2896
726	7684	2885
727	7693	2874
728	7705	2864
729	7714	2853
730	7723	2842
731	7732	2831
732	7741	2820
733	7752	2809
734	7761	2798
735	7771	2787
736	7783	2777
737	7792	2766
738	7803	2756
739	7812	2744
740	7822	2734
741	7833	2723
742	7842	2712
743	7852	2702
744	7864	2691
745	7873	2680
746	7884	2670
747	7895	2659
748	7905	2649
749	7915	2638
750	7924	2627
751	7933	2616
752	7943	2605
753	7952	2594
754	7961	2583
755	7970	2572
756	7981	2561
757	7991	2551
758	8000	2540
759	8010	2529
760	8019	2518
761	8030	2508
762	8040	2497
763	8049	2486
764	8059	2475
765	8068	2464
766	8077	2453
767	8086	2442
768	8095	2431
769	8104	2420
770	8113	2409
771	8124	2399
772	8133	2388
773	8144	2378
774	8154	2367
775	8163	2356
776	8173	2345
777	8182	2334
778	8191	2324
779	8201	2313
780	8210	2302
781	8220	2291
782	8230	2280
783	8241	2270
784	8250	2259
785	8259	2248
786	8268	2237
787	8277	2226
788	8288	2216
789	8299	2206
790	8308	2195
791	8317	2184
792	8326	2173
793	8335	2162
794	8344	2151
795	8353	2140
796	8363	2130
797	8371	2119
798	8382	2108
799	8391	2097
800	8401	2087
801	8410	2076
802	8420	2065
803	8431	2055
804	8440	2044
805	8449	2033
806	8457	2022
807	8467	2012
808	8476	2001
809	8485	1990
810	8495	1979
811	8503	1968
812	8514	1958
813	8524	1947
814	8533	1937
815	8543	1926
816	8552	1915
817	8562	1905
818	8572	1894
819	8581	1883
820	8590	1873
821	8599	1862
822	8608	1851
823	8617	1840
824	8629	1830
825	8639	1819
826	8648	1809
827	8659	1798
828	8668	1787
829	8677	1777
830	8688	1767
831	8698	1756
832	8709	1746
833	8718	1735
834	8728	1724
835	8739	1714
836	8748	1703
837	8758	1693
838	8768	1682
839	8778	1672
840	8788	1661
841	8799	1651
842	8808	1640
843	8819	1630
844	8829	1619
845	8841	1609
846	8854	1599
847	8867	1589
848	8879	1579
849	8890	1568
850	8902	1558
851	8915	1548
852	8927	1538
853	8940	1528
854	8952	1518
855	8965	1508
856	8979	1498
857	8989	1487
858	9002	1477
859	9012	1467
860	9023	1456
861	9034	1446
862	9047	1436
863	9057	1425
864	9069	1415
865	9079	1404
866	9092	1394
867	9103	1384
868	9118	1374
869	9133	1364
870	9169	1357
871	9204	1351
872	9238	1343
873	9277	1337
874	9321	1331
875	9357	1324
876	9393	1317
877	9433	1310
878	9469	1303
879	9505	1296
880	9541	1288
881	9572	1280
882	9600	1272
883	9612	1261
884	9626	1250
885	9651	1241
886	9675	1232
887	9695	1222
888	9713	1212
889	9726	1202
890	9736	1191
891	9744	1179
892	9756	1168
893	9765	1157
894	9775	1146
895	9785	1135
896	9794	1124
897	9804	1113
898	9815	1102
899	9824	1091
900	9837	1080
901	9846	1069
902	9855	1058
903	9867	1047
904	9876	1036
905	9886	1025
906	9895	1014
907	9905	1003
908	9915	992
909	9924	981
910	9932	970
911	9941	959
912	9950	948
913	9960	937
914	9968	926
915	9979	915
916	9990	904
917	10000	893
918	10014	882
919	10027	871
920	10038	861
921	10050	850
922	10063	839
923	10073	828
924	10084	817
925	10098	807
926	10109	796
927	10119	785
928	10130	774
929	10140	763
930	10149	752
931	10160	741
932	10171	730
933	10181	719
934	10192	708
935	10205	697
936	10216	686
937	10229	676
938	10238	665
939	10250	654
940	10264	643
941	10279	632
942	10292	622
943	10304	611
944	10313	600
945	10326	589
946	10339	578
947	10350	567
948	10360	556
949	10372	545
950	10383	534
951	10392	524
952	10403	513
953	10414	502
954	10423	491
955	10434	480
956	10443	469
957	10454	458
958	10463	447
959	10472	436
960	10482	425
961	10491	414
962	10503	403
963	10513	392
964	10521	381
965	10531	370
966	10540	359
967	10548	348
968	10557	337
969	10566	326
970	10577	315
971	10587	304
972	10600	294
973	10611	283
974	10621	272
975	10632	261
976	10644	250
977	10657	239
978	10668	228
979	10679	217
980	10690	207
981	10702	196
982	10715	185
983	10729	174
984	10740	163
985	10752	152
986	10763	141
987	10774	130
988	10785	119
989	10796	109
990	10806	98
991	10820	87
992	10832	76
993	10845	65
994	10861	54
995	10873	43
996	10886	32
997	10897	21
998	10910	10
999	10924	0
